run_id,seed,repetition,component,case,expected_result,observed_result,matches_rule,provenance
components-20260723T020700Z,20260722,0,Signature,valid_signature,accepted,accepted,True,measured
components-20260723T020700Z,20260722,0,Signature,forged_signature,rejected,rejected,True,measured
components-20260723T020700Z,20260722,0,Signature,modified_signed_payload,rejected,rejected,True,measured
components-20260723T020700Z,20260722,0,AcceptOnce,first_admission,accepted,accepted,True,measured
components-20260723T020700Z,20260722,0,AcceptOnce,idempotent_retransmission,accepted,accepted,True,measured
components-20260723T020700Z,20260722,0,AcceptOnce,counter_conflict,rejected,rejected,True,measured
components-20260723T020700Z,20260722,0,Merkle proof,valid_merkle_proof,accepted,accepted,True,measured
components-20260723T020700Z,20260722,0,Merkle proof,modified_merkle_proof,rejected,rejected,True,measured
components-20260723T020700Z,20260722,0,Latest CAS,valid_cas,accepted,accepted,True,measured
components-20260723T020700Z,20260722,0,Latest CAS,stale_latest_pointer,rejected,rejected,True,measured
components-20260723T020700Z,20260722,0,Latest CAS,skipped_version,rejected,rejected,True,measured
components-20260723T020700Z,20260723,1,Signature,valid_signature,accepted,accepted,True,measured
components-20260723T020700Z,20260723,1,Signature,forged_signature,rejected,rejected,True,measured
components-20260723T020700Z,20260723,1,Signature,modified_signed_payload,rejected,rejected,True,measured
components-20260723T020700Z,20260723,1,AcceptOnce,first_admission,accepted,accepted,True,measured
components-20260723T020700Z,20260723,1,AcceptOnce,idempotent_retransmission,accepted,accepted,True,measured
components-20260723T020700Z,20260723,1,AcceptOnce,counter_conflict,rejected,rejected,True,measured
components-20260723T020700Z,20260723,1,Merkle proof,valid_merkle_proof,accepted,accepted,True,measured
components-20260723T020700Z,20260723,1,Merkle proof,modified_merkle_proof,rejected,rejected,True,measured
components-20260723T020700Z,20260723,1,Latest CAS,valid_cas,accepted,accepted,True,measured
components-20260723T020700Z,20260723,1,Latest CAS,stale_latest_pointer,rejected,rejected,True,measured
components-20260723T020700Z,20260723,1,Latest CAS,skipped_version,rejected,rejected,True,measured
components-20260723T020700Z,20260724,2,Signature,valid_signature,accepted,accepted,True,measured
components-20260723T020700Z,20260724,2,Signature,forged_signature,rejected,rejected,True,measured
components-20260723T020700Z,20260724,2,Signature,modified_signed_payload,rejected,rejected,True,measured
components-20260723T020700Z,20260724,2,AcceptOnce,first_admission,accepted,accepted,True,measured
components-20260723T020700Z,20260724,2,AcceptOnce,idempotent_retransmission,accepted,accepted,True,measured
components-20260723T020700Z,20260724,2,AcceptOnce,counter_conflict,rejected,rejected,True,measured
components-20260723T020700Z,20260724,2,Merkle proof,valid_merkle_proof,accepted,accepted,True,measured
components-20260723T020700Z,20260724,2,Merkle proof,modified_merkle_proof,rejected,rejected,True,measured
components-20260723T020700Z,20260724,2,Latest CAS,valid_cas,accepted,accepted,True,measured
components-20260723T020700Z,20260724,2,Latest CAS,stale_latest_pointer,rejected,rejected,True,measured
components-20260723T020700Z,20260724,2,Latest CAS,skipped_version,rejected,rejected,True,measured
components-20260723T020700Z,20260725,3,Signature,valid_signature,accepted,accepted,True,measured
components-20260723T020700Z,20260725,3,Signature,forged_signature,rejected,rejected,True,measured
components-20260723T020700Z,20260725,3,Signature,modified_signed_payload,rejected,rejected,True,measured
components-20260723T020700Z,20260725,3,AcceptOnce,first_admission,accepted,accepted,True,measured
components-20260723T020700Z,20260725,3,AcceptOnce,idempotent_retransmission,accepted,accepted,True,measured
components-20260723T020700Z,20260725,3,AcceptOnce,counter_conflict,rejected,rejected,True,measured
components-20260723T020700Z,20260725,3,Merkle proof,valid_merkle_proof,accepted,accepted,True,measured
components-20260723T020700Z,20260725,3,Merkle proof,modified_merkle_proof,rejected,rejected,True,measured
components-20260723T020700Z,20260725,3,Latest CAS,valid_cas,accepted,accepted,True,measured
components-20260723T020700Z,20260725,3,Latest CAS,stale_latest_pointer,rejected,rejected,True,measured
components-20260723T020700Z,20260725,3,Latest CAS,skipped_version,rejected,rejected,True,measured
components-20260723T020700Z,20260726,4,Signature,valid_signature,accepted,accepted,True,measured
components-20260723T020700Z,20260726,4,Signature,forged_signature,rejected,rejected,True,measured
components-20260723T020700Z,20260726,4,Signature,modified_signed_payload,rejected,rejected,True,measured
components-20260723T020700Z,20260726,4,AcceptOnce,first_admission,accepted,accepted,True,measured
components-20260723T020700Z,20260726,4,AcceptOnce,idempotent_retransmission,accepted,accepted,True,measured
components-20260723T020700Z,20260726,4,AcceptOnce,counter_conflict,rejected,rejected,True,measured
components-20260723T020700Z,20260726,4,Merkle proof,valid_merkle_proof,accepted,accepted,True,measured
components-20260723T020700Z,20260726,4,Merkle proof,modified_merkle_proof,rejected,rejected,True,measured
components-20260723T020700Z,20260726,4,Latest CAS,valid_cas,accepted,accepted,True,measured
components-20260723T020700Z,20260726,4,Latest CAS,stale_latest_pointer,rejected,rejected,True,measured
components-20260723T020700Z,20260726,4,Latest CAS,skipped_version,rejected,rejected,True,measured
components-20260723T020700Z,20260727,5,Signature,valid_signature,accepted,accepted,True,measured
components-20260723T020700Z,20260727,5,Signature,forged_signature,rejected,rejected,True,measured
components-20260723T020700Z,20260727,5,Signature,modified_signed_payload,rejected,rejected,True,measured
components-20260723T020700Z,20260727,5,AcceptOnce,first_admission,accepted,accepted,True,measured
components-20260723T020700Z,20260727,5,AcceptOnce,idempotent_retransmission,accepted,accepted,True,measured
components-20260723T020700Z,20260727,5,AcceptOnce,counter_conflict,rejected,rejected,True,measured
components-20260723T020700Z,20260727,5,Merkle proof,valid_merkle_proof,accepted,accepted,True,measured
components-20260723T020700Z,20260727,5,Merkle proof,modified_merkle_proof,rejected,rejected,True,measured
components-20260723T020700Z,20260727,5,Latest CAS,valid_cas,accepted,accepted,True,measured
components-20260723T020700Z,20260727,5,Latest CAS,stale_latest_pointer,rejected,rejected,True,measured
components-20260723T020700Z,20260727,5,Latest CAS,skipped_version,rejected,rejected,True,measured
components-20260723T020700Z,20260728,6,Signature,valid_signature,accepted,accepted,True,measured
components-20260723T020700Z,20260728,6,Signature,forged_signature,rejected,rejected,True,measured
components-20260723T020700Z,20260728,6,Signature,modified_signed_payload,rejected,rejected,True,measured
components-20260723T020700Z,20260728,6,AcceptOnce,first_admission,accepted,accepted,True,measured
components-20260723T020700Z,20260728,6,AcceptOnce,idempotent_retransmission,accepted,accepted,True,measured
components-20260723T020700Z,20260728,6,AcceptOnce,counter_conflict,rejected,rejected,True,measured
components-20260723T020700Z,20260728,6,Merkle proof,valid_merkle_proof,accepted,accepted,True,measured
components-20260723T020700Z,20260728,6,Merkle proof,modified_merkle_proof,rejected,rejected,True,measured
components-20260723T020700Z,20260728,6,Latest CAS,valid_cas,accepted,accepted,True,measured
components-20260723T020700Z,20260728,6,Latest CAS,stale_latest_pointer,rejected,rejected,True,measured
components-20260723T020700Z,20260728,6,Latest CAS,skipped_version,rejected,rejected,True,measured
components-20260723T020700Z,20260729,7,Signature,valid_signature,accepted,accepted,True,measured
components-20260723T020700Z,20260729,7,Signature,forged_signature,rejected,rejected,True,measured
components-20260723T020700Z,20260729,7,Signature,modified_signed_payload,rejected,rejected,True,measured
components-20260723T020700Z,20260729,7,AcceptOnce,first_admission,accepted,accepted,True,measured
components-20260723T020700Z,20260729,7,AcceptOnce,idempotent_retransmission,accepted,accepted,True,measured
components-20260723T020700Z,20260729,7,AcceptOnce,counter_conflict,rejected,rejected,True,measured
components-20260723T020700Z,20260729,7,Merkle proof,valid_merkle_proof,accepted,accepted,True,measured
